1129 LOCUST AVE ,,22901,NOT AVAILABLE,2604,
1414 GROVE RD ,,22901,NOT AVAILABLE,1303,
1202 BLAND CIR ,,22901,NOT AVAILABLE,2637,
2744 MCELROY DR ,,22903,AVAILABLE,13661,
1000 ELLIOTT AVE ,,22902,AVAILABLE,14051,
714 ROCK CREEK RD ,,22903,NOT AVAILABLE,10664,
1623 ST ANNES RD ,,22901,NOT AVAILABLE,942,
418 MOBILE LN ,,22903,AVAILABLE,13765,
616 DAVIS AVE ,,22901,AVAILABLE,3585,
1103 ROSE HILL DR ,,22903,AVAILABLE,4,
214 9TH ST SW ,,22903,NOT AVAILABLE,17044,
601 ALTAVISTA AVE ,,22902,AVAILABLE,14324,
603 ALTAVISTA AVE ,A,22902,AVAILABLE,10982,
603 ALTAVISTA AVE ,B,22902,AVAILABLE,10982,
100 CRISPELL DR ,,22903,NOT AVAILABLE,,
1404 SUNRISE PARK LN ,,22902,NOT AVAILABLE,15241,
2509 PLATEAU RD ,A,22903,NOT AVAILABLE,0.17,
864 ESTES ST ,,22903,NOT AVAILABLE,17038,
1406 SUNRISE PARK LN ,,22902,NOT AVAILABLE,15242,
870 ESTES ST ,,22903,NOT AVAILABLE,17035,
1415 CHESAPEAKE ST ,,22902,AVAILABLE,0.417,
211 RAYMOND AVE ,,22903,AVAILABLE,9907,
361 10TH ST NW ,A,22903,AVAILABLE,4932,
1819 JEFFERSON PARK AVE ,304,22903,UNKNOWN STATE,7864,
1909 JEFFERSON PARK AVE ,5,22903,AVAILABLE,,
513 E MAIN ST ,,22902,AVAILABLE,7113,
1608 DEL MAR DR ,,22903,AVAILABLE,1593,
1606 DEL MAR DR ,,22903,AVAILABLE,1609,
872 ESTES ST ,,22903,NOT AVAILABLE,17034,
2511 PLATEAU RD ,A,22903,NOT AVAILABLE,8917,
2511 PLATEAU RD ,B,22903,NOT AVAILABLE,8917,
818 ROSE HILL DR ,,22903,AVAILABLE,4332,
810 HENRY AVE ,100,22903,AVAILABLE,,
810 HENRY AVE ,200,22903,AVAILABLE,,
810 HENRY AVE ,201,22903,AVAILABLE,,
286 MASSIE RD ,,22903,AVAILABLE,,
130 HARRIS RD ,,22903,NOT AVAILABLE,13144,
200 HARRIS RD ,,22903,NOT AVAILABLE,13129,
817 CABELL AVE ,A,22903,NOT AVAILABLE,3069,
817 CABELL AVE ,B,22903,NOT AVAILABLE,3069,
117 ALTAMONT CIR ,6,22902,NOT AVAILABLE,5748,
2509 PLATEAU RD ,B,22903,NOT AVAILABLE,0.17,
115 RIVERBLUFF CIR ,,22902,NOT AVAILABLE,14057,
234 HUNTLEY AVE ,,22903,NOT AVAILABLE,17104,
236 HUNTLEY AVE ,,22903,NOT AVAILABLE,14297,
123 RIVERBLUFF CIR ,,22902,NOT AVAILABLE,14078,
1520 E MARKET ST ,101,22902,AVAILABLE,,
1520 E MARKET ST ,102,22902,AVAILABLE,,
1002 ROSE HILL DR ,,22903,NOT AVAILABLE,3740,
782 PROSPECT AVE ,,22903,NOT AVAILABLE,10559,
2210 NORTH BERKSHIRE RD ,A,22901,NOT AVAILABLE,15105,
2210 NORTH BERKSHIRE RD ,B,22901,NOT AVAILABLE,15105,
509 NASSAU ST ,,22902,NOT AVAILABLE,15254,
511 NASSAU ST ,,22902,NOT AVAILABLE,15253,
513 NASSAU ST ,,22902,NOT AVAILABLE,15252,
424 NICHOLSON ST , ,22901,NOT AVAILABLE,17378,
408 NICHOLSON ST , ,22901,NOT AVAILABLE,17382,
562 LOCHLYN HILL DR , ,22901,NOT AVAILABLE,17397,
606 MONTROSE AVE ,B,22902,AVAILABLE,10599,
